,y_gt,x_gt,target_gt,frame,y_knn,x_knn,target_knn,target_match_knn,classification_knn
0,42,234,Gdc1,0,42.50144204626693,234.5240454064727,Gdc1,match,TP
1,48,66,E2f2,0,48.462163819609486,66.49481074517286,E2f2,match,TP
2,66,91,E2f2,0,66.50349349584205,91.56682558518436,E2f2,match,TP
3,67,8,E2f2,0,67.50303683590188,8.387352387918584,E2f2,match,TP
4,116,125,Gdc1,0,116.38404636405687,125.53067518699284,Gdc1,match,TP
5,141,160,Gdc1,0,141.505387700167,160.51990295888268,Gdc1,match,TP
6,142,51,E2f2,0,,,,not_found,FN
7,180,242,Gdc1,0,180.52028307693007,242.54208998986164,Gdc1,match,TP
8,230,178,Gdc1,0,230.5095917956272,178.6149014949968,Gdc1,match,TP
9,20,3,Fgb,1,20.404790184040607,3.6253195779582055,Fgb,match,TP
10,65,199,Pzp,1,,,,not_found,FN
11,113,190,Fgb,1,113.4320518292648,190.4440041410884,Fgb,match,TP
12,114,5,Fgb,1,114.57399608473507,5.42534407400455,Fgb,match,TP
13,149,36,Fgb,1,149.42336578587688,36.546465714814246,Fgb,match,TP
14,173,212,Pzp,1,173.48831375716188,212.4246761779824,Pzp,match,TP
15,174,194,Pzp,1,174.58398117214733,194.4340820123169,Pzp,match,TP
16,205,147,Pzp,1,,,,not_found,FN
17,220,64,Pzp,1,220.5574825585746,64.62604572608332,Pzp,match,TP
18,7,194,Timp3,2,7.461207677520362,194.49552842757168,Timp3,match,TP
19,76,149,Timp3,2,,,,not_found,FN
20,151,227,Timp3,2,151.45786097092991,227.4603807307048,Timp3,match,TP
21,176,124,Timp3,2,176.4507878113696,124.71386793599386,Timp3,match,TP
22,240,17,Fgb,2,,,,not_found,FN
23,31,101,Timp3,3,,,,not_found,FN
24,36,115,Proz,3,36.51001100346671,115.4960719802772,Proz,match,TP
25,86,157,Proz,3,86.56618766970054,157.50141689692245,Proz,match,TP
26,128,98,Proz,3,128.47750304355776,98.51314005795315,Proz,match,TP
27,188,144,Proz,3,188.44453448048327,144.46024561261925,Proz,match,TP
28,186,38,Proz,4,186.78374607319654,38.37170578325953,Proz,match,TP
29,64,86,Cfi,5,64.51890858834186,86.54869161712735,Cfi,match,TP
30,106,224,Cfi,5,106.51210432667122,224.512136943924,Cfi,match,TP
31,165,184,Cfi,5,165.41529033447085,184.4720572064111,Cfi,match,TP
32,210,39,Cfi,5,,,,not_found,FN
33,248,230,Cfi,5,248.45550921546604,230.5129622755544,Cfi,match,TP
34,58,178,Aldob,7,,,,not_found,FN
35,71,99,Aldob,7,71.49400777426398,99.4504174831742,Aldob,match,TP
36,84,102,Aldob,7,84.62353534238605,102.50264387540588,Aldob,match,TP
37,124,99,Aldob,7,124.47802677266672,99.53880924426096,Aldob,match,TP
38,173,20,Aldob,7,173.47920274834775,20.534425330915468,Aldob,match,TP
39,10,97,Cxadr,9,,,,not_found,FN
40,107,216,Cxadr,9,107.52574709115585,216.5385316239437,Cxadr,match,TP
41,140,148,Cxadr,9,140.40027500155364,148.53466913648282,Cxadr,match,TP
42,158,96,Cxadr,9,158.48150038526109,96.47677178599022,Cxadr,match,TP
43,190,200,Cxadr,9,190.4861980819727,200.53852771064288,Cxadr,match,TP
44,54,84,Vcam1,11,54.48483280008397,84.56359583666429,Vcam1,match,TP
45,141,206,Vcam1,11,141.391004888935,206.35344029424832,Vcam1,match,TP
46,145,57,Vcam1,11,145.51322097485792,57.507972027431286,Vcam1,match,TP
47,204,23,Vcam1,11,,,,not_found,FN
48,194,143,E2f2,13,194.51792976666303,143.47740231263975,E2f2,match,TP
49,223,78,Vcam1,13,,,,not_found,FN
